country	consumption 2000	electricity 2000	Mortality 2000	consumption 2001	electricity 2001	Mortality 2001	consumption 2002	electricity 2002	Mortality 2002	consumption 2003	electricity 2003	Mortality 2003	consumption 2004	electricity 2004	Mortality 2004	consumption 2005	electricity 2005	Mortality 2005	consumption 2006	electricity 2006	Mortality 2006	consumption 2007	electricity 2007	Mortality 2007	consumption 2008	electricity 2008	Mortality 2008	consumption 2009	electricity 2009	Mortality 2009	consumption 2010	electricity 2010	Mortality 2010																							
Eritrea	0.00888	46.89746034	98.2	0.01052	50.88560627	94.8	0.00977	54.35366571	91.4	0.01103	56.20552406	88.7	0.01037	54.41902137	85.6	0.01036	53.9437447	82.8	0.01035	49.93718032	80.4	0.00973	51.05697312	77.4	0.01108	48.91338511	75	0.00714	51.00041232	72.2	0.00701	51.77327266	69.8																							
Estonia	0.19633	4628.645907	11.09	0.2039	4770.174642	10.8	0.2034	4898.266212	7.6	0.22366	5269.079913	8.96	0.23265	5482.883591	7.98	0.23315	5567.206524	7.33	0.22655	5883.679544	5.76	0.23105	6272.770096	6.42	0.22402	6347.548809	6.04	0.19773	5950.289158	4.4	0.22299	6464.14871	4.74																							
Ethiopia	0.06451	22.98030387	138.6	0.06956	26.90786934	131.5	0.0745	26.65095844	124.6	0.08134	29.18738203	118.2	0.08518	31.50567337	112.4	0.09097	34.4716793	106.6	0.10302	38.71388678	100.9	0.11177	41.32867522	95.8	0.13166	43.03529401	90.3	0.13029	44.50178698	85.8	0.13678	54.27395915	81.5																							
Finland	1.21661	15303.86428	4.31	1.22831	15709.305	3.72	1.24334	16138.14411	3.62	1.31717	16442.88697	3.92	1.3526	16774.88805	4.1	1.26539	16115.98415	4.14	1.32564	17212.94852	3.33	1.35083	17161.24128	3.48	1.29482	16349.79794	3.27	1.20685	15241.61194	3.07	1.30311	16482.78912	3																							
France	0.00105	7237.519734	5.49	0.00096	7347.467417	5.52	0.00096	7301.614346	5	0.00105	7531.506003	4.96	0.00113	7665.289605	4.73	0.00117	7655.525916	4.4	0.00118	7536.424648	4.51	0.00122	7519.896527	4.29	0.00123	7650.987412	4.34	0.00122	7339.868621	4.33	0.00122	7728.553246	4.2																							
Gabon	0.03684	875.1094899	82.4	0.0382	881.1200437	81.6	0.03796	915.9013492	80.4	0.03898	920.6942931	79.3	0.0393	915.0621461	77.9	0.03826	919.9484362	76.5	0.04223	961.2136342	75	0.04342	1004.469538	73.2	0.05311	1036.330164	71.1	0.04194	1029.43187	69.2	0.04543	1004.342186	67.4																							
Georgia	0.13752	1452.821221	32.6	0.12619	1449.252234	31.3	0.14833	1509.754418	30.1	0.13288	1597.403497	28.7	0.1357	1650.186416	27.5	0.15153	1714.894983	26.4	0.13936	1560.936789	25.4	0.16648	1609.698296	24.3	0.1737	1651.80099	23.4	0.17753	1585.199964	22.3	0.19191	1742.948257	21.5																							
Germany	14.41007	6635.421406	5.4	14.76009	6762.653396	5.2	14.44915	6900.780527	5.1	14.70252	6983.337424	5	14.81923	7082.53137	4.9	14.42205	7113.41229	4.7	14.68168	7174.137667	4.6	14.22641	7184.308553	4.5	14.39583	7149.108593	4.4	13.52424	6753.05764	4.2	13.93671	7215.421269	4.1																							
Ghana	0.14286	330.3855002	98.7	0.1419	336.5887736	96.8	0.13071	311.3198575	94.6	0.12545	225.3662225	92.4	0.14495	220.218731	90.8	0.14937	246.6288284	88.4	0.15015	298.2333867	86.5	0.13327	247.1777205	84.6	0.14904	266.8050654	83	0.17244	276.1874149	81	0.19467	297.8047192	79.6																							
Greece	1.338	4539.41669	7.7	1.35539	4681.296922	7.2	1.35968	4871.425759	6.8	1.43748	5047.210898	6.3	1.42721	5149.931281	5.9	1.44302	5241.551104	5.5	1.4855	5372.132115	5.3	1.50936	5627.832913	5.1	1.47097	5722.92089	4.9	1.40269	5540.222428	4.7	1.3418	5241.921087	4.6																							
Guatemala	0.15753	342.615057	48.2	0.16974	370.8099196	46.2	0.1687	375.5820484	44.4	0.17628	465.7572924	42.5	0.19425	478.8482876	40.7	0.20438	477.1507839	39.2	0.20222	547.6066414	37.6	0.20965	557.3087847	36.1	0.19736	542.698384	34.4	0.21336	548.0409442	33.1	0.21337	567.3111599	31.6																							
Haiti	0.02408	35.0476573	102	0.02601	34.46341879	98.5	0.02652	29.9935581	95.3	0.02639	28.20812617	92.1	0.02686	27.78792688	88.9	0.02719	36.6952376	85.8	0.02785	37.02869122	83	0.02907	25.29023142	80	0.03579	23.52015112	77.5	0.03339	35.6844485	74.8	0.03097	24.41648845	160.7																							
Honduras	0.08601	516.3914482	35	0.09293	526.9980552	33.5	0.09775	554.3784084	32.1	0.10039	580.8449471	30.7	0.10937	612.1787989	29.3	0.11675	621.2892901	27.9	0.12283	635.8146015	26.7	0.13443	692.7120241	25.6	0.13243	709.185673	24.3	0.12509	675.4432227	23.3	0.13198	670.7432277	22.2																							
Hungary	1.02243	3309.283711	11	1.05724	3426.722902	10.4	1.06097	3545.170756	9.8	1.08511	3637.278332	9.3	1.08542	3680.168467	8.8	1.15794	3771.364614	8.4	1.14796	3882.490664	7.9	1.12415	3976.518977	7.6	1.10717	3988.767694	7.2	1.03658	3773.153807	6.9	1.05124	3876.491084	6.6																							
Iceland	0.1199	26201.52558	3.89	0.12267	26950.39443	3.26	0.12659	27896.89868	3.5	0.12829	27666.38689	2.9	0.12972	28215.45225	3.1	0.1306	27988.02968	2.99	0.14327	31328.3868	2.3	0.16695	36852.54489	3.29	0.20929	50067.10479	3.59	0.2039	51259.18763	2.18	0.20542	51439.90869	3.29																							
India	13.33329	386.6379466	87.7	13.83718	387.3856354	85	13.66474	400.2556898	82.4	14.11354	417.4861874	79.6	15.31959	438.8360332	77.2	16.33149	455.8626845	74.6	17.63085	495.1874814	72.3	18.81378	539.4840764	70	19.90302	556.1064727	67.7	21.41704	589.9421724	65.5	21.9198	616.2037985	63.4																							
Indonesia	3.87305	386.9811427	52.5	3.93491	408.0877525	50.5	4.08854	414.3154181	48.2	4.104	425.8985116	46	4.43032	471.5846842	43.9	4.64683	497.7185207	42	5.0977	514.8431979	40.1	5.32105	546.3092409	38.2	5.43696	571.7911903	36.8	5.80577	597.0612704	34.8	6.05509	641.31154	33.3																							
Iran	5.02081	1553.158834	44	5.38611	1647.340477	41.4	5.88847	1747.13615	38.8	6.1875	1890.387831	37	6.40678	2011.210869	34.9	7.33526	2080.465001	33.7	7.67976	2220.336758	31.8	7.89703	2304.092568	30.5	8.09856	2416.927841	28.5	9.04268	2498.579791	27.3	9.10777	2652.310019	26.2																							
Iraq	1.08419	1199.326748	42.8	1.13411	1204.400016	42.3	1.14428	1232.981555	42	1.0122	1016.719553	41.5	1.12508	1174.159294	41	1.23888	816.0244727	40.5	1.22646	947.8454962	40.1	1.30916	745.1711099	39.7	1.34034	722.0090521	39.2	1.45744	1053.914309	38.9	1.50018	1183.079186	38.6																							
Ireland	0.60027	5796.055581	7	0.62845	5896.939225	6.7	0.62447	6035.686646	6.3	0.61908	6092.548994	5.9	0.64429	6168.398988	5.6	0.66413	6241.715574	5.2	0.70269	6370.851535	5	0.70299	6278.272481	4.7	0.69324	6432.001569	4.5	0.62099	6049.192835	4.3	0.62811	6025.224636	4.1																							
